vertice,x_wgs84,y_wgs84,zona,hemisferio
1b,189452.08,8316453.09,19,S
2b,189381.72,8316504.37,19,S
3b,189370.31,8316561.36,19,S
4b,189387.43,8316620.25,19,S
5b,189448.28,8316631.64,19,S
6b,189480.60,8316599.35,19,S
7b,189480.60,8316555.66,19,S
