nombre,x,y
A,221193.0876,8269345.5796
B,221198.2496,8269323.2442
C,221189.5585,8269316.6356
D,221170.0570,8269303.3684
E,221153.1612,8269292.9403
F,221147.5623,8269312.9563
G,221145.6989,8269325.6038
H,221144.3299,8269332.5624
I,221143.2663,8269338.2312
J,221141.8727,8269344.4099
K,221159.5600,8269344.6498
L,221182.2277,8269344.8098
