V,ESTE,NORTE
1b,189645.37,8316822.12
2b,189575.01,8316873.41
3b,189563.6,8316930.4
4b,189580.72,8316989.29
5b,189641.57,8317000.68
6b,189673.89,8316968.39
7b,189673.89,8316924.7
