V,ESTE,NORTE
1,195075,8318395
2,194940,8318912
3,194916,8319457
4,194229,8319585
5,193933,8319535
6,193930.16,8320090.82
7,192819,8319714
8,192538.09,8319971.35
9,192826.26,8318824.99
10,192751.47,8318311.79
11,192544.68,8317935.73
12,192612.77,8317923.57
13,192502.74,8317446.35
14,192659.03,8317223.82
15,192795.03,8317023.77
16,192970.83,8316893.43
17,193211.84,8316609.35
18,193292.32,8316402.85
19,193489.65,8316320.98
20,193707.63,8316304
21,194604,8317784
